period_end,fiscal_year,fiscal_quarter,revenue,net_income,operating_expenses,rd_expense,eps_basic,gross_profit
2018-03-31,2018,Q2,61137,13822,7528,3378,2.75,23422
2018-06-30,2018,Q3,53265,11519,7809,3701,2.36,20421
2018-12-29,2019,Q1,84310,19965,8685,3902,4.22,32031
2019-03-30,2019,Q2,58015,11561,8406,3948,2.47,21821
2019-06-29,2019,Q3,53809,10044,8683,4257,2.20,20227
2019-12-28,2020,Q1,91819,22236,9648,4451,5.04,35217
2020-03-28,2020,Q2,58313,11249,9517,4565,2.58,22370
2020-06-27,2020,Q3,59685,11253,9589,4758,2.61,22680
2020-12-26,2021,Q1,111439,28755,10794,5163,1.70,44328
2021-03-27,2021,Q2,89584,23630,10576,5262,1.41,38079
2021-06-26,2021,Q3,81434,21744,11129,5717,1.31,35255
2021-12-25,2022,Q1,123945,34630,12755,6306,2.11,54243
2022-03-26,2022,Q2,97278,25010,12580,6387,1.54,42559
2022-06-25,2022,Q3,82959,19442,12809,6797,1.20,35885
2022-12-31,2023,Q1,117154,29998,14316,7709,1.89,50332
2023-04-01,2023,Q2,94836,24160,13658,7457,1.53,41976
2023-07-01,2023,Q3,81797,19881,13415,7442,1.27,36413
2023-12-30,2024,Q1,119575,33916,14482,7696,2.19,54855
2024-03-30,2024,Q2,90753,23636,14371,7903,1.53,42271
2024-06-29,2024,Q3,85777,21448,14326,8006,1.40,39678
2024-12-28,2025,Q1,124300,36330,15443,8268,2.41,58275
2025-03-29,2025,Q2,95359,24780,15278,8550,1.65,44867
2025-06-28,2025,Q3,94036,23434,15516,8866,1.57,43718
2025-12-27,2026,Q1,143756,42097,18379,10887,2.85,69231
2026-03-28,2026,Q2,111184,29578,18896,11419,2.02,54781
